Time (s),Mole fraction
,Ar,He,Ne,N2,SiH4(1),H2(2),SiH2(3),Si2H6(4),SiH3SiH(5)
3.650722202e-05,0.0,0.0,0.0,0.0,0.49999771703375767,0.50000114148312114,2.3856710115153291e-17,1.1414831211694958e-06,6.4011898693575269e-21
7.0866960388e-05,0.0,0.0,0.0,0.0,0.49999556836916836,0.50000221581541582,2.3882434782142513e-17,2.2158154158103883e-06,1.2425785763685324e-20
9.999999999999998e-05,0.0,0.0,0.0,0.0,0.49999374656012602,0.50000312671993707,2.3904246377738342e-17,3.1267199369761288e-06,1.7533897915504575e-20
0.000139586437124,0.0,0.0,0.0,0.0,0.49999127106769037,0.50000436446615482,2.3933884447766445e-17,4.3644661547705782e-06,2.4474822215581561e-20
0.000277025390596,0.0,0.0,0.0,0.0,0.49998267657553597,0.50000866171223202,2.4036785105610752e-17,8.6617122320083144e-06,4.8572273789739967e-20
0.0005519032975400001,0.0,0.0,0.0,0.0,0.49996548803442198,0.50001725598278901,2.4242591727810985e-17,1.7255982789008598e-05,9.6764691761125372e-20
0.0009999999999999998,0.0,0.0,0.0,0.0,0.49993746912060061,0.50003126543969978,2.4578105917982511e-17,3.1265439699708833e-05,1.7531924496144093e-19
0.0011016591114280001,0.0,0.0,0.0,0.0,0.4999311127248891,0.50003444363755545,2.4654226199271752e-17,3.4443637555441514e-05,1.9313958813050879e-19
0.0022011707392040002,0.0,0.0,0.0,0.0,0.49986236919592575,0.50006881540203718,2.5477580058556413e-17,6.8815402037112976e-05,3.8584963165070842e-19
0.0033006823669800003,0.0,0.0,0.0,0.0,0.49979363511954689,0.50010318244022656,2.6301047150264739e-17,0.00010318244022655526,5.7850669235399948e-19
0.004400193994756,0.0,0.0,0.0,0.0,0.49972491049451551,0.5001375447527423,2.7124627489216246e-17,0.00013754475274224174,7.7111079009073601e-19
0.0054997056225320005,0.0,0.0,0.0,0.0,0.49965619531955308,0.50017190234022357,2.7948321090734065e-17,0.00017190234022350438,9.6366194481875269e-19
0.007698728878084001,0.0,0.0,0.0,0.0,0.49951879331509424,0.50024060334245291,2.9596048138290537e-17,0.00024060334245295227,1.3486055039869959e-18
0.009999999999999998,0.0,0.0,0.0,0.0,0.49937504299785962,0.50031247850107019,3.1320874800158858e-17,0.00031247850107015416,1.751221251120714e-18
0.012096775389188002,0.0,0.0,0.0,0.0,0.49924410264988633,0.50037794867505692,3.2892862069116999e-17,0.00037794867505684194,2.1178581857001981e-18
0.016494821900292,0.0,0.0,0.0,0.0,0.49896956304109519,0.50051521847945246,3.6191489936800956e-17,0.00051521847945240661,2.8862660142542942e-18
0.020892868411396003,0.0,0.0,0.0,0.0,0.49869517440532318,0.50065241279733841,3.9491932743337673e-17,0.00065241279733842369,3.6538302655709402e-18
0.029688961433604003,0.0,0.0,0.0,0.0,0.49814684972036105,0.50092657513981953,4.6098267173086356e-17,0.00092657513981944206,5.1864331249943283e-18
0.04728114747802001,0.0,0.0,0.0,0.0,0.49705200837496982,0.50147399581251495,5.9332759295149555e-17,0.0014739958125150408,8.2415717404887091e-18
0.06487333352243602,0.0,0.0,0.0,0.0,0.49595957331174401,0.50202021334412794,7.2596402524218738e-17,0.0020202133441279526,1.1283354747515003e-17
0.09999999999999998,0.0,0.0,0.0,0.0,0.49378546465115547,0.50310726767442226,9.9167652053950578e-17,0.0031072676744221938,1.7317304241641993e-17
0.10005770561126802,0.0,0.0,0.0,0.0,0.49378190090758306,0.5031090495462085,9.9211399054342546e-17,0.0031090495462084153,1.7327173534422258e-17
0.13172364049121682,0.0,0.0,0.0,0.0,0.49183017230047893,0.50408491384976051,1.2326523826414318e-16,0.0040849138497604251,2.2721730942286739e-17
0.1633895753711656,0.0,0.0,0.0,0.0,0.48988615815448944,0.50505692092275523,1.4741452971243433e-16,0.0050569209227551773,2.8074242773854431e-17
0.1950555102511144,0.0,0.0,0.0,0.0,0.48794982797324166,0.50602508601337914,1.716596524522377e-16,0.0060250860133790312,3.3385156723161429e-17
0.22672144513106318,0.0,0.0,0.0,0.0,0.48602115138298019,0.50698942430850991,1.9600098679367502e-16,0.0069894243085097205,3.8654914749157208e-17
0.25838738001101197,0.0,0.0,0.0,0.0,0.48410009813141286,0.50794995093429351,2.2043891438864072e-16,0.0079499509342933067,4.3883952782264719e-17
0.3217192497709096,0.0,0.0,0.0,0.0,0.48028074119672726,0.50985962940163643,2.6960608483774632e-16,0.0098596294016361549,5.4221581050894683e-17
0.3850511195308072,0.0,0.0,0.0,0.0,0.47649151751059932,0.51175424124470037,3.1916424853028564e-16,0.011754241244700037,6.4401408970245184e-17
0.44838298929070475,0.0,0.0,0.0,0.0,0.4727321893939454,0.51363390530302744,3.6911651531761503e-16,0.01363390530302698,7.4426704666552388e-17
0.5750467288104999,0.0,0.0,0.0,0.0,0.46530227819886621,0.51734886090056686,4.7021591500342535e-16,0.017348860900566442,9.4026371909676362e-17
0.6811129956315052,0.0,0.0,0.0,0.0,0.45917049746667143,0.52041475126666425,5.5611583714010362e-16,0.020414751266663748,1.0999088776513454e-16
0.7871792624525105,0.0,0.0,0.0,0.0,0.45311952208797246,0.52344023895601355,6.4316286592776349e-16,0.023440238956013035,1.2556168032563789e-16
0.8932455292735157,0.0,0.0,0.0,0.0,0.44714828722475891,0.52642585638762029,7.3137231604221322e-16,0.02642585638761976,1.4075183208526107e-16
0.9999999999999998,0.0,0.0,0.0,0.0,0.4412177632138084,0.52939111839309572,8.2134357738298412e-16,0.029391118393094922,1.5566884448815409e-16
1.1053780629155263,0.0,0.0,0.0,0.0,0.43544084915409231,0.53227957542295357,9.1134079143455873e-16,0.032279575422952872,1.7003965807982979e-16
