Time (s),dln[SiH2(2)]/dln[k1]: SiH4(1)=SiH2(2)+H2(3),dln[SiH2(2)]/dln[k2]: H2(3)+Si(14)=SiH2(2),dln[SiH2(2)]/dln[k9]: SiH3SiH(5)=H4Si2(7),dln[SiH2(2)]/dln[k11]: H2(3)+H2Si2(22)=H4Si2(7),dln[SiH2(2)]/dG[SiH4(1)],dln[SiH2(2)]/dG[SiH2(2)],dln[SiH2(2)]/dG[H2(3)],dln[SiH2(2)]/dG[Si(14)],dln[SiH2(2)]/dG[SiH3SiH(5)],dln[SiH2(2)]/dG[H2Si2(22)]
2.68435455e-07,0.99999878312020174,-0.99999999216603686,-5.6116142007911813e-14,-6.1772340081279878e-15,-1.59920782584699e-09,-0.55117082768695547,0.55117082608778012,0.55117082608774415,3.1024499762788422e-14,3.4047123651853709e-15
4.0265318300000003e-07,0.99999817837959648,-0.999999986001045,-1.1781691225319577e-13,-1.1066983851370639e-14,-1.59881938100425e-09,-0.55117082768695724,0.55117082608820689,0.5511708260881325,6.508495663400163e-14,6.099801895473019e-15
5.36870911e-07,0.99999757610523476,-0.99999997736974755,-2.0262608655630883e-13,-1.7193228311565344e-14,-1.5984444612578269e-09,-0.55117082768695869,0.55117082608863388,0.55117082608850709,1.1188574940339356e-13,9.4764121672725845e-15
6.71088639e-07,0.99999697629713835,-0.9999999662721456,-3.1144985951844497e-13,-2.4604459134699577e-14,-1.5980835925628568e-09,-0.55117082768696024,0.55117082608906176,0.55117082608886736,1.7192648232530594e-13,1.3561270416353402e-14
9.39524095e-07,0.99999578407978096,-0.99999993667802667,-6.0234933375683514e-13,-4.3346528712047979e-14,-1.5974046909078513e-09,-0.55117082768696335,0.55117082608991907,0.55117082608954582,3.3239383828510719e-13,2.3891363402255896e-14
9.999999999999997e-07,0.99999760097935109,-1.0000020127912859,-6.8138047415754728e-13,-4.8291021519512075e-14,-1.597262953464102e-09,-0.55117197640540061,0.55117197480854596,0.55117197480812408,3.7598537854141708e-13,2.6616626611249115e-14
1.4763950070000002e-06,0.99999342924040813,-0.99999984789413743,-1.477423692278009e-12,-9.652342426360979e-14,-1.5962182420165571e-09,-0.55117082768696934,0.55117082609163992,0.55117082609073087,8.1501970322590324e-13,5.3200950666639671e-14
2.5501368310000002e-06,0.99998883794297566,-0.9999995519438436,-4.4018010613817749e-12,-2.6570854767201362e-13,-1.5945303818861814e-09,-0.55117082768698122,0.55117082609510792,0.5511708260924163,2.4276573710485876e-12,1.4645096966949231e-13
4.697620479e-06,0.99998012887216425,-0.99999848651436885,-1.4947907345638296e-11,-8.5542749468892046e-13,-1.5938885122774472e-09,-0.55117082768700565,0.5511708261021403,0.55117082609305357,8.2427174149038676e-12,4.714872669786235e-13
6.845104127e-06,0.99997205116310761,-0.99999678971666639,-3.1757372116955995e-11,-1.7802899606004917e-12,-1.5968851593707515e-09,-0.55117082768702996,0.55117082610929424,0.55117082609005164,1.7510946757099457e-11,9.8124514590138177e-13
9.999999999999997e-06,0.99996486011477892,-0.99999668288871535,-6.7812416526803229e-11,-3.7468776614657231e-12,-1.6078720982097278e-09,-0.55117277391415387,0.55117277234708884,0.55117277230614559,3.7390139860366662e-11,2.0651723533825995e-12
1.1140071423e-05,0.99995778980196204,-0.99999150204475484,-8.4166316561726681e-11,-4.6354421164816297e-12,-1.6137603965965639e-09,-0.55117082768707859,0.55117082612393675,0.55117082607316681,4.640688015553563e-11,2.5549238118931527e-12
1.50055419894e-05,0.99994711374407197,-0.99998458395034939,-1.5275479547223128e-10,-8.3512559019661083e-12,-1.641338563783531e-09,-0.55117082768712233,0.55117082613748125,0.55117082604557965,8.4222917395045103e-11,4.6029747101525899e-12
1.88710125558e-05,0.99993848312532496,-0.99997562039530052,-2.4163573605662235e-10,-1.3152890462041665e-11,-1.6806388447101822e-09,-0.55117082768716585,0.55117082615135926,0.55117082600627065,1.3322677102454296e-10,7.2494991569720397e-12
2.2736483122200002e-05,0.99993189783533432,-0.999964611489779,-3.5080846825987494e-10,-1.9040309808806069e-11,-1.7316529575098649e-09,-0.5511708276872096,0.5511708261655639,0.55117082595524758,1.934180725327727e-10,1.0494477317170956e-11
2.66019536886e-05,0.99992735773867736,-0.99995155736905983,-4.8027224043174618e-10,-2.6013473588793326e-11,-1.7943769058555785e-09,-0.55117082768725301,0.55117082618009372,0.55117082589251454,2.6479640787943093e-10,1.4337886949430026e-11
