Time (s),dln[SiH2(2)]/dln[k1]: SiH4(1)=SiH2(2)+H2(3),dln[SiH2(2)]/dln[k2]: Si2H6(4)=SiH4(1)+SiH2(2),dln[SiH2(2)]/dln[k3]: Si2H6(4)=H2(3)+SiH3SiH(5),dln[SiH2(2)]/dln[k5]: SiH2(2)+SiH2(2)=H4Si2(7),dln[SiH2(2)]/dln[k12]: H3Si(8)+H3Si(8)=Si2H6(4),dln[SiH2(2)]/dln[k23]: H2(3)+H3Si2(12)=H5Si2(11),dln[SiH2(2)]/dln[k30]: Si2H6(4)+HSi(10)=H7Si3(31),dln[SiH2(2)]/dln[k33]: SiH4(1)+H3Si2(12)=H7Si3(31),dln[SiH2(2)]/dG[SiH4(1)],dln[SiH2(2)]/dG[SiH2(2)],dln[SiH2(2)]/dG[H2(3)],dln[SiH2(2)]/dG[Si2H6(4)],dln[SiH2(2)]/dG[H3Si(8)],dln[SiH2(2)]/dG[HSi(10)],dln[SiH2(2)]/dG[H3Si2(12)]
2.62143e-10,0.99999999920172122,-0.0001187627668197726,-5.5725351002980942e-19,-1.1457549657532423e-12,-1.1758739208166698e-22,-2.809791435863799e-28,-4.4739410092717008e-33,5.4471856824685807e-31,-6.5458591871963694e-05,-6.5458591875830935e-05,-1.237251608381559e-15,6.5458591873200864e-05,-1.0099208264026715e-21,1.3926077183018424e-15,1.5487085949517999e-28
3.93215e-10,0.99999999886822233,-0.00016824382157517559,-1.3665604188581973e-18,-2.2675252422939081e-12,-2.8853551886252926e-22,-8.5473009245578379e-28,-1.9188765286877522e-32,1.9846950399403896e-30,-9.2731123344192191e-05,-9.2731123351062753e-05,-2.4486900911147503e-15,9.2731123346640699e-05,-1.8533641558568574e-21,1.9728210956925258e-15,4.7111611607482288e-28
5.24287e-10,0.99999999855095945,-0.00021524934625127045,-2.5992059596343478e-18,-3.7054390662484565e-12,-5.48846697732716e-22,-1.9097705257492908e-27,-5.602305549711487e-32,5.0931703968410579e-30,-0.00011863921879118393,-0.00011863921880171184,-4.0016218247743797e-15,0.00011863921879518514,-2.8289386089287193e-21,2.5240066812473484e-15,1.0526491943183417e-27
7.864310000000001e-10,0.9999999979985893,-0.00029688783674058623,-6.0701629807602678e-18,-7.1755795066659405e-12,-1.281205804824585e-21,-5.6108549466801436e-27,-2.5055763712664164e-31,1.8456281482952164e-29,-0.00016363602105580173,-0.00016363602107478392,-7.7496086839806879e-15,0.00016363602106355028,-4.8312759679307076e-21,3.4812979774148503e-15,3.092710829221629e-27
9.999999999999999e-10,0.95368988779672492,-0.00034748085957327112,-1.0092224017010115e-17,-1.0468868990439965e-11,-2.128822205263745e-21,-1.0872694087407906e-26,-6.3916122794798295e-31,4.1042463197137969e-29,-0.00019152146246946818,-0.00019152146249615942,-1.1306930296074395e-14,0.00019152146248077327,-6.4257646354135314e-21,4.0745512989176841e-15,5.993142294477489e-27
1.0485750000000002e-09,0.9999999974367223,-0.00037975947284689133,-1.1714144620853382e-17,-1.1903003876678683e-11,-2.4707082885477896e-21,-1.2891450146685889e-26,-7.8201530244407382e-31,4.9484248473689694e-29,-0.00020931251190131863,-0.00020931251193148691,-1.2855983609220118e-14,0.00020931251191417242,-7.1886405801289612e-21,4.4530496871937623e-15,7.1059171888422336e-27
1.3107190000000003e-09,0.9999999968614417,-0.00046444128954198848,-2.0190926923235634e-17,-1.7941959978839313e-11,-4.2550648121585004e-21,-2.5702355987300697e-26,-2.0135146088421455e-30,1.1214027403787217e-28,-0.00025598673734567322,-0.00025598673738988422,-1.9379597227477068e-14,0.00025598673736504878,-9.8166466735328368e-21,5.4460281400292149e-15,1.416772690405405e-26
1.8350070000000003e-09,0.99999999568230369,-0.00063736874305484836,-5.1815076405015583e-17,-3.4762757682072389e-11,-1.0894184908204783e-20,-9.0430877387284438e-26,-1.384901710878247e-29,5.3704831448521471e-28,-0.00035129952083647287,-0.00035129952091906885,-3.7553544410374607e-14,0.00035129952087401554,-1.5117168442419736e-20,7.4737765983322096e-15,4.9851753772211797e-26
2.8835830000000006e-09,0.99999999326964151,-0.00098851434691365667,-2.07083147919349e-16,-8.7365105158600524e-11,-4.3352585223760855e-20,-6.0160233527094797e-25,-2.7486835567562689e-28,5.8481203483681938e-27,-0.00054484140447685382,-0.00054484140467731868,-9.4408241601274862e-14,0.00054484140457121649,-1.8396750157905233e-20,1.1591321214857974e-14,3.3175475603689825e-25
4.980735000000001e-09,0.99999998832992076,-0.0016964730430486634,-1.1580103356240754e-15,-2.6883105771125184e-10,-2.4124648843097656e-19,-6.2328925886525824e-24,-9.2487400826296705e-27,1.0312568234113262e-25,-0.0009350498944568278,-0.00093504989505839597,-2.9069026414963487e-13,0.00093504989474726453,6.6280162100995341e-20,1.9892901859264585e-14,3.4409470513417885e-24
